x y cosx_x cosy_x
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
0.824 -1.145 0.584 -0.812
