x y cosx_x cosy_x
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.407 0.096 0.998 0.068
1.396 0.195 0.990 0.138
1.396 0.198 0.990 0.141
1.396 0.201 0.990 0.142
1.381 0.285 0.979 0.202
1.375 0.312 0.975 0.221
1.347 0.416 0.955 0.295
1.325 0.482 0.940 0.342
1.282 0.586 0.909 0.416
1.257 0.639 0.891 0.453
1.184 0.766 0.840 0.543
1.171 0.785 0.831 0.557
1.137 0.833 0.807 0.591
1.133 0.839 0.804 0.595
1.121 0.855 0.795 0.607
0.936 1.054 0.664 0.748
0.866 1.113 0.614 0.789
0.784 1.172 0.556 0.831
0.664 1.244 0.471 0.882
0.614 1.269 0.435 0.900
0.441 1.339 0.312 0.950
0.403 1.351 0.286 0.958
0.011 1.410 0.008 1.000
-0.113 1.405 -0.080 0.997
-0.421 1.346 -0.298 0.954
-0.622 1.265 -0.441 0.897
-0.748 1.195 -0.531 0.848
-0.992 1.002 -0.704 0.710
-1.030 0.963 -0.730 0.683
-1.207 0.729 -0.856 0.517
-1.283 0.585 -0.910 0.415
-1.332 0.464 -0.944 0.329
-1.392 0.224 -0.987 0.159
-1.392 0.224 -0.987 0.159
-1.392 0.222 -0.987 0.158
-1.398 0.182 -0.992 0.129
-1.403 0.143 -0.995 0.101
-1.406 0.102 -0.997 0.072
-1.408 0.079 -0.998 0.056
-1.408 0.079 -0.998 0.056
-1.408 0.079 -0.998 0.056
-1.408 0.079 -0.998 0.056
-1.408 0.079 -0.998 0.056
-1.408 0.079 -0.998 0.056
-1.408 0.079 -0.998 0.056
-1.408 0.079 -0.998 0.056
-1.408 0.079 -0.998 0.056
-1.408 0.079 -0.998 0.056
-1.408 0.077 -0.998 0.055
-1.409 0.057 -0.999 0.041
-1.410 -0.015 -1.000 -0.010
-1.409 -0.058 -0.999 -0.041
-1.406 -0.103 -0.997 -0.073
-1.402 -0.148 -0.994 -0.105
